city_ascii,city,country
Tokyo,Tokyo,Japan
Jakarta,Jakarta,Indonesia
Delhi,Delhi,India
Guangzhou,Guangzhou,China
Mumbai,Mumbai,India
Manila,Manila,Philippines
Shanghai,Shanghai,China
Sao Paulo,Sao Paulo,Brazil
Seoul,Seoul,South Korea
Mexico City,Mexico City,Mexico
Cairo,Cairo,Egypt
New York,New York,United States
Dhaka,Dhaka,Bangladesh
Beijing,Beijing,China
Kolkata,Kolkata,India
Bangkok,Bangkok,Thailand
Shenzhen,Shenzhen,China
Moscow,Moscow,Russia
Buenos Aires,Buenos Aires,Argentina
Lagos,Lagos,Nigeria
Istanbul,Istanbul,Turkey
Karachi,Karachi,Pakistan
Bangalore,Bangalore,India
Ho Chi Minh City,Ho Chi Minh City,Vietnam
Osaka,Osaka,Japan
Chengdu,Chengdu,China
Tehran,Tehran,Iran
Kinshasa,Kinshasa,Congo (Kinshasa)
Rio de Janeiro,Rio de Janeiro,Brazil
Chennai,Chennai,India
Xi'an,Xi'an,China
Lahore,Lahore,Pakistan
Chongqing,Chongqing,China
Los Angeles,Los Angeles,United States
Baoding,Baoding,China
London,London,United Kingdom
Paris,Paris,France
Linyi,Linyi,China
Dongguan,Dongguan,China
Hyderabad,Hyderabad,India
Tianjin,Tianjin,China
Lima,Lima,Peru
Wuhan,Wuhan,China
Nanyang,Nanyang,China
Hangzhou,Hangzhou,China
Foshan,Foshan,China
Nagoya,Nagoya,Japan
Taipei,Taipei,Taiwan
Tongshan,Tongshan,China
Luanda,Luanda,Angola
Zhoukou,Zhoukou,China
Ganzhou,Ganzhou,China
Kuala Lumpur,Kuala Lumpur,Malaysia
Heze,Heze,China
Quanzhou,Quanzhou,China
Chicago,Chicago,United States
Nanjing,Nanjing,China
Jining,Jining,China
Hanoi,Hanoi,Vietnam
Pune,Pune,India
Fuyang,Fuyang,China
Ahmedabad,Ahmedabad,India
Johannesburg,Johannesburg,South Africa
Bogota,Bogota,Colombia
Dar es Salaam,Dar es Salaam,Tanzania
Shenyang,Shenyang,China
Khartoum,Khartoum,Sudan
Shangqiu,Shangqiu,China
Cangzhou,Cangzhou,China
Hong Kong,Hong Kong,Hong Kong
Shaoyang,Shaoyang,China
Zhanjiang,Zhanjiang,China
Yancheng,Yancheng,China
Hengyang,Hengyang,China
Riyadh,Riyadh,Saudi Arabia
Zhumadian,Zhumadian,China
Santiago,Santiago,Chile
Xingtai,Xingtai,China
Chattogram,Chattogram,Bangladesh
Bijie,Bijie,China
Shangrao,Shangrao,China
Zunyi,Zunyi,China
Surat,Surat,India
Surabaya,Surabaya,Indonesia
Huanggang,Huanggang,China
Maoming,Maoming,China
Nanchong,Nanchong,China
Xinyang,Xinyang,China
Madrid,Madrid,Spain
Baghdad,Baghdad,Iraq
Qujing,Qujing,China
Jieyang,Jieyang,China
Singapore,Singapore,Singapore
Prayagraj,Prayagraj,India
Liaocheng,Liaocheng,China
Dalian,Dalian,China
Yulin,Yulin,China
Changde,Changde,China
Qingdao,Qingdao,China
Douala,Douala,Cameroon
Miami,Miami,United States
Nangandao,Nangandao,China
Pudong,Pudong,China
Xiangyang,Xiangyang,China
Dallas,Dallas,United States
Houston,Houston,United States
Zhengzhou,Zhengzhou,China
Lu'an,Lu'an,China
Dezhou,Dezhou,China
Jinan,Jinan,China
Giza,Giza,Egypt
Zhaotong,Zhaotong,China
Yichun,Yichun,China
Nairobi,Nairobi,Kenya
Guadalajara,Guadalajara,Mexico
Philadelphia,Philadelphia,United States
Ankara,Ankara,Turkey
Tai'an,Tai'an,China
Dazhou,Dazhou,China
Langfang,Langfang,China
Yongzhou,Yongzhou,China
Toronto,Toronto,Canada
Suihua,Suihua,China
